materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,estado_real,prediccion_continua,posterior_0,posterior_1-2,posterior_3-5,posterior_6-11,posterior_12 o más,ess,n_train_fold,n_test_fold,evidencia_anio_que_cursa,evidencia_tamano_grupo,evidencia_participaciones_semana,evidencia_participaciones_semana_anterior
Computación Emergente,2526-3,anon_306,1,6,11.0,6-11,5.854780413116635,0.0003466204506065858,0.0003466204506065858,0.41629116117850956,0.5826689774696707,0.0003466204506065858,5,142,40,3,grande,0,1
Computación Emergente,2526-3,anon_306,1,8,11.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,2
Computación Emergente,2526-3,anon_307,1,4,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_307,1,6,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_307,1,8,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_308,1,4,9.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,4,grande,1,3 o más
Computación Emergente,2526-3,anon_308,1,6,9.0,6-11,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_308,1,8,9.0,6-11,7.171121658997307,0.0010362694300518136,0.0010362694300518136,0.0010362694300518136,0.9958549222797928,0.0010362694300518136,5,142,40,4,grande,0,2
Computación Emergente,2526-3,anon_309,1,4,2.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_309,1,6,2.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_309,1,8,2.0,1-2,7.160535409607574,0.0020618556701030924,0.0020618556701030924,0.0020618556701030924,0.9917525773195877,0.0020618556701030924,5,142,40,4,grande,2,0
Computación Emergente,2526-3,anon_310,1,4,8.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,4,grande,1,3 o más
Computación Emergente,2526-3,anon_310,1,6,8.0,6-11,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_310,1,8,8.0,6-11,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_311,1,4,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_311,1,6,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_311,1,8,0.0,0,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_312,1,4,7.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,2,1
Computación Emergente,2526-3,anon_312,1,6,7.0,6-11,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_312,1,8,7.0,6-11,6.118893823651329,0.0004618937644341801,0.0004618937644341801,0.3330254041570439,0.6655889145496535,0.0004618937644341801,5,142,40,3,grande,1,1
Computación Emergente,2526-3,anon_313,1,4,1.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_313,1,6,1.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_313,1,8,1.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_314,1,4,1.0,1-2,3.489649567706248,0.0001156737998843262,0.5553499132446501,0.22220936957779064,0.16668594563331407,0.05563909774436091,5,142,40,5 o más,grande,1,0
Computación Emergente,2526-3,anon_314,1,6,1.0,1-2,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_314,1,8,1.0,1-2,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_315,1,4,1.0,1-2,4.207669361776558,6.125574272588054e-05,0.2940888208269525,0.3822970903522204,0.32349157733537515,6.125574272588054e-05,5,142,40,4,grande,1,0
Computación Emergente,2526-3,anon_315,1,6,1.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_315,1,8,1.0,1-2,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_316,1,4,11.0,6-11,6.118893823651329,0.0004618937644341801,0.0004618937644341801,0.3330254041570439,0.6655889145496535,0.0004618937644341801,5,142,40,3,grande,1,1
Computación Emergente,2526-3,anon_316,1,6,11.0,6-11,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_316,1,8,11.0,6-11,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,3,grande,0,2
Computación Emergente,2526-3,anon_317,1,4,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_317,1,6,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_317,1,8,0.0,0,1.7085763959279299,0.5944835350408106,5.629045876723896e-05,0.378328173374613,0.027075710667041942,5.629045876723896e-05,5,142,40,3,grande,0,0
Computación Emergente,2526-3,anon_318,1,4,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_318,1,6,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_318,1,8,0.0,0,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_319,1,4,22.0,12 o más,7.160535409607574,0.0020618556701030924,0.0020618556701030924,0.0020618556701030924,0.9917525773195877,0.0020618556701030924,5,142,40,4,grande,2,0
Computación Emergente,2526-3,anon_319,1,6,22.0,12 o más,4.080611771529831,5.480953685941354e-05,0.3157577418470814,0.38152918607837766,0.30260345300082214,5.480953685941354e-05,5,142,40,4,grande,0,1
Computación Emergente,2526-3,anon_319,1,8,22.0,12 o más,5.117389277389277,0.2,0.2,0.2,0.2,0.2,5,142,40,4,grande,3 o más,3 o más
Computación Emergente,2526-3,anon_320,1,4,3.0,3-5,3.7824470555060543,9.91571641051066e-05,0.4998512642538424,0.3094695091720377,0.09529003470500744,0.09529003470500744,5,142,40,5 o más,grande,0,1
Computación Emergente,2526-3,anon_320,1,6,3.0,3-5,0.5860469964472588,0.6924030638094953,0.24034214526271866,0.05865943432777993,0.008589395881143266,5.96071886269484e-06,5,142,40,5 o más,grande,0,0
Computación Emergente,2526-3,anon_320,1,8,3.0,3-5,3.489649567706248,0.0001156737998843262,0.5553499132446501,0.22220936957779064,0.16668594563331407,0.05563909774436091,5,142,40,5 o más,grande,1,0
Computación Emergente,2526-3,anon_321,1,4,3.0,3-5,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_321,1,6,3.0,3-5,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Computación Emergente,2526-3,anon_321,1,8,3.0,3-5,0.8929547350911811,0.5655893325453404,0.32446348760757954,0.09042957928563515,0.019510213127470175,7.387433974808851e-06,5,142,40,4,grande,0,0
Estructura de Datos,2425-3,anon_322,2,4,36.0,12 o más,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,3 o más,1
Estructura de Datos,2425-3,anon_322,2,6,36.0,12 o más,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,3 o más,1
Estructura de Datos,2425-3,anon_322,2,8,36.0,12 o más,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,3 o más,1
Estructura de Datos,2425-3,anon_323,2,4,27.0,12 o más,3.877646771257469,0.00029717682020802375,0.5708766716196136,0.14294205052005943,0.2855869242199108,0.00029717682020802375,5,78,30,2,mediano,0,2
Estructura de Datos,2425-3,anon_323,2,6,27.0,12 o más,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,3 o más,1
Estructura de Datos,2425-3,anon_323,2,8,27.0,12 o más,3.6695050653813537,0.0020618556701030924,0.0020618556701030924,0.9917525773195877,0.0020618556701030924,0.0020618556701030924,5,78,30,2,mediano,2,1
Estructura de Datos,2425-3,anon_324,2,4,0.0,0,1.4032233155063372,0.6983303025293437,0.12699619771863116,0.14286658951892875,3.3063316250619935e-05,0.031773846916845754,5,78,30,4,mediano,0,0
Estructura de Datos,2425-3,anon_324,2,6,0.0,0,1.4032233155063372,0.6983303025293437,0.12699619771863116,0.14286658951892875,3.3063316250619935e-05,0.031773846916845754,5,78,30,4,mediano,0,0
Estructura de Datos,2425-3,anon_324,2,8,0.0,0,1.4032233155063372,0.6983303025293437,0.12699619771863116,0.14286658951892875,3.3063316250619935e-05,0.031773846916845754,5,78,30,4,mediano,0,0
Estructura de Datos,2425-3,anon_037,2,4,3.0,3-5,10.20247028501364,0.00023121387283236996,0.3331791907514451,0.00023121387283236996,0.3331791907514451,0.3331791907514451,5,78,30,1,mediano,0,1
Estructura de Datos,2425-3,anon_037,2,6,3.0,3-5,2.2381018970347606,0.5076430059285371,0.3999679538535491,3.2046146450889276e-05,0.030796346739304595,0.061560647332158304,5,78,30,1,mediano,0,0
Estructura de Datos,2425-3,anon_037,2,8,3.0,3-5,2.2381018970347606,0.5076430059285371,0.3999679538535491,3.2046146450889276e-05,0.030796346739304595,0.061560647332158304,5,78,30,1,mediano,0,0
Estructura de Datos,2425-3,anon_325,2,4,3.0,3-5,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_325,2,6,3.0,3-5,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_325,2,8,3.0,3-5,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_326,2,4,0.0,0,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_326,2,6,0.0,0,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_326,2,8,0.0,0,2.320489852083275,0.3707765229094739,0.3539235765697232,0.12359997659313007,0.1516882204927146,1.1703434958160218e-05,5,78,30,2,mediano,0,0
Estructura de Datos,2425-3,anon_327,2,4,11.0,6-11,8.153103940732807,0.0020618556701030924,0.0020618556701030924,0.0020618556701030924,0.9917525773195877,0.0020618556701030924,5,78,30,2,mediano,1,2
Estructura de Datos,2425-3,anon_327,2,6,11.0,6-11,3.8240902835122488,0.00023121387283236996,0.44416184971098266,0.3331791907514451,0.22219653179190751,0.00023121387283236996,5,78,30,2,mediano,0,1
Estructura de Datos,2425-3,anon_327,2,8,11.0,6-11,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,1,1
Estructura de Datos,2425-3,anon_328,2,4,18.0,12 o más,8.153103940732807,0.0020618556701030924,0.0020618556701030924,0.0020618556701030924,0.9917525773195877,0.0020618556701030924,5,78,30,1,mediano,1,2
Estructura de Datos,2425-3,anon_328,2,6,18.0,12 o más,10.20247028501364,0.00023121387283236996,0.3331791907514451,0.00023121387283236996,0.3331791907514451,0.3331791907514451,5,78,30,1,mediano,0,1
Estructura de Datos,2425-3,anon_328,2,8,18.0,12 o más,2.2381018970347606,0.5076430059285371,0.3999679538535491,3.2046146450889276e-05,0.030796346739304595,0.061560647332158304,5,78,30,1,mediano,0,0
Estructura de Datos,2425-3,anon_329,2,4,21.0,12 o más,6.851082251082252,0.2,0.2,0.2,0.2,0.2,5,78,30,2,mediano,2,3 o más
Estructura de Datos,2425-3,anon_329,2,6,21.0,12 o más,6.355577755577756,0.0004158004158004158,0.0004158004158004158,0.3995841995841996,0.5991683991683993,0.0004158004158004158,5,78,30,2,mediano,3 o más,0
