tratamiento,materia,trimestre_prueba,estudiante_id,seccion,hito,total_trimestre_real,prediccion_continua,evidencia_completa
dropna,Algoritmos y Programación,2425-2,anon_042,2,6,8.0,1.4022119854307913,True
dropna,Algoritmos y Programación,2425-2,anon_042,2,8,8.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_043,2,4,9.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_043,2,6,9.0,4.278994689443125,True
dropna,Algoritmos y Programación,2425-2,anon_043,2,8,9.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_044,2,4,13.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_044,2,6,13.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_044,2,8,13.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_045,2,4,10.0,9.193987836941117,True
dropna,Algoritmos y Programación,2425-2,anon_045,2,6,10.0,5.799326981246219,True
dropna,Algoritmos y Programación,2425-2,anon_045,2,8,10.0,14.620721901457234,True
dropna,Algoritmos y Programación,2425-2,anon_046,2,4,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_046,2,6,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_046,2,8,0.0,1.0121530565491046,True
dropna,Algoritmos y Programación,2425-2,anon_047,2,4,5.0,7.642953842709721,True
dropna,Algoritmos y Programación,2425-2,anon_047,2,6,5.0,2.840077038318065,True
